f_name,dir_path,func_descr,func_value
sas_script_3.sas,test_data,line_count,34
sas_script_3.sas,test_data,sql_count,1
sas_script_3.sas,test_data,sql_code,"[(6, 'CREATE TABLE mylib.mytable AS SELECT * FROM sashelp.class;')]"
sas_script_3.sas,test_data,libname_lines,"[""LIBNAME mylib 'c:\\myfolder';\n""]"
sas_script_3.sas,test_data,export_count,1
sas_script_3.sas,test_data,null_ds_count,1
sas_script_3.sas,test_data,hardcoded_dates,[]
sas_script_3.sas,test_data,file_ref,[]
sas_script_2.sas,test_data,line_count,26
sas_script_2.sas,test_data,sql_count,0
sas_script_2.sas,test_data,sql_code,[]
sas_script_2.sas,test_data,libname_lines,"[""LIBNAME mylib 'c:\\myfolder';\n""]"
sas_script_2.sas,test_data,export_count,0
sas_script_2.sas,test_data,null_ds_count,1
sas_script_2.sas,test_data,hardcoded_dates,[]
sas_script_2.sas,test_data,file_ref,"[(1, 'test_data/deeper_test_data/sas_script_d1.sas')]"
sas_script_1.sas,test_data,line_count,24
sas_script_1.sas,test_data,sql_count,2
sas_script_1.sas,test_data,sql_code,"[(4, 'CONNECT TO ORACLE (USER=your_username PASSWORD=your_password PATH=your_path);'), (12, 'CREATE TABLE mylib.mytable AS SELECT * FROM connection to ORACLE (SELECT * FROM my_oracle_table);')]"
sas_script_1.sas,test_data,libname_lines,"[""LIBNAME mylib 'c:\\myfolder';\n""]"
sas_script_1.sas,test_data,export_count,1
sas_script_1.sas,test_data,null_ds_count,0
sas_script_1.sas,test_data,hardcoded_dates,[]
sas_script_1.sas,test_data,file_ref,"[(2, 'test_data/sas_script_2.sas')]"
sas_script_4.sas,test_data,line_count,156
sas_script_4.sas,test_data,sql_count,6
