xref_idx,func_value
1,"{'create_dt': '2023-06-12T09:28:28.428767', 'modified_dt': '2023-06-12T09:28:28.428767'}"
2,34
3,1
4,"(6, 'CREATE TABLE mylib.mytable AS SELECT * FROM sashelp.class;')"
5,"LIBNAME mylib 'c:\myfolder';
"
6,1
7,1
8,"{'create_dt': '2023-06-12T15:15:29.947480', 'modified_dt': '2023-06-12T15:15:29.947480'}"
9,26
10,0
11,"LIBNAME mylib 'c:\myfolder';
"
12,0
13,1
14,"(1, 'test_data/deeper_test_data/sas_script_d1.sas')"
15,"{'create_dt': '2023-06-12T09:28:28.428188', 'modified_dt': '2023-06-12T09:28:28.428188'}"
16,24
17,2
18,"(4, 'CONNECT TO ORACLE (USER=your_username PASSWORD=your_password PATH=your_path);')"
19,"(12, 'CREATE TABLE mylib.mytable AS SELECT * FROM connection to ORACLE (SELECT * FROM my_oracle_table);')"
20,"LIBNAME mylib 'c:\myfolder';
"
21,1
22,0
23,"(2, 'test_data/sas_script_2.sas')"
24,"{'create_dt': '2023-06-12T09:28:28.429096', 'modified_dt': '2023-06-12T09:28:28.429096'}"
25,156
26,6
27,"(24, 'Select quote(trim(email)) into :To_Email SEPARATED BY "" "" from COMMON.DISTLISTS WHERE Report = \'FSR_Antnem_TX\' AND Status = \'TO\'')"
28,"(29, 'Select quote(trim(email)) into :CC_Email SEPARATED BY "" "" from COMMON.DISTLISTS WHERE Report = \'FSR_Anthem_TX\' AND Status = \'CC\'')"
29,"(36, 'select ""\'""Irtrim(clientid)II""\'"" into :cProfiles separated by "","" from common.profl where family = &family;')"
30,"(83, 'select distinct cats(""\'"",1v11 - acct_gid,""\'"") into :pgid separated by \',\' from dwu _ edw.v _ ems _ trnmt _ dtl as ect where ect.clnt_profl_id in (&cProfiles); select distinct cats(""\'"",1v13_acct_gid,""\'"") into :pgid _3_ separated by \',\' from dwu edw.v ems trnmt dtl as ect where ect.clnt_profl_id in (&cProfiles);')"
31,"(95, 'CONNECT TO teradata (database=dwu_edw tdpid=prdedwl user=6.userid password=""&password"" connection=global); CREATE TABLE work.ECA AS SELECT * FROM CONNECTION TO TERADATA /* Encountered*/ Select ECA.LVLl_acctid AS Carrier , ECA.LVL2_acct_id AS acct /* , coalesce(cag.FSR_DESC,\'Unknown\') as family*/ \'• ENCOUNTERED\' AS Ql Status /* , eca.clmnbr*7 /* , eca.clm_seq_nbr*/ , eca.clm_txn_cd , extract(year from ECA.srvc_dt) as yr , extract(month from ECA.srvc_dt) As mth , SUM(RBL_DUE_AMT) AS dollars ,substr(ect.OUTBD_STRNG_TXT,45,2) AS FAC_Submitted ,eca.LVLl_ACCT_ID ,eca.LVL2_ACCT_ID ,eca.LVL3 ACCT ID FROM DWU_EDW.V_PHMCY CLMEMS_DTL AS ECA inner join DWU_El3W.VMS_TRNMT_DTL AS ECT ON ECA.PRMCY_CLM_kMS_DTL_GID EQ ECT.PHMCY_CLm_EMs_DTL_GID AND ECA.clnt_profl_id in (&cProfiles) AND ECT.clnt_profl_id in (&cProfiles) AND cast(eca.clm_adjn_bgn_ts as date)BETWEEN &xsstart and &xeend AND eca.srvc_dt BETWEEN &xsstartand&xeend AND ect.srvc_dt BETWEEN &xsstartand&xeend AND ECA.selfcrteb2_IND ne \'Y\' AND ECA.clm_txn_cd IN (\'Bl\', \'B2\') AND ECA.src_rec_stus_cd in (\'A\') and eca.clm_typ_cd ne \'R\' and ect.src_hist_curr_cd eq \'C\' and ect.1v13_acct_gid IN (&pgid_3) and ect.lvll_acct_gid IN (&pgid) and eca.1v13_acct_gid IN (&pgid_3) and eca.lvll_acct_gid IN (&pgid) GROUP BY 1,2,3,4,5,6,8,9,10,11 ORDER BY 1,2,3,4,5,6,8,9,10,11 DISCONNECT FROM Teradata;')"
32,"(137, ""create table work.eca as select eca.Carrier ,eca.acct ,coalesce(cag.FSR_DESC,'Unknown') as family ,eca.Ql_Status ,eca.clm_txn_cd ,eca.yr ,eca.mth ,sum(eca.dollars) as dollars ,eca.FAC_Submitted from work.eca left join work.anthem_cag_structure as cag on eca.LVLl_ACCT_ID = cag.carrier and eca.LVL2_ACCT_ID = cag.acct and eca.LVL3_acct_id = cag.grp group by 1,2,3,4,5,6,7,9 order by 1,2,3,4,5,6,7,9;"")"
33,"LIBNAME DWU_EDW TERADATA SERVER=PRDEDW2 SCHEMA=DWU_EDW_RB DEFER=YES user = &userid password = ""&password"";
"
34,"LIBNAME DWU_PRC TERADATA SERVER=PRDEDW2 SCHEMA=DWU_PRC_RB DEFER=YES user = &userid password = ""&password"";
"
35,"libname common '/fin_ops/medenc/common';
"
36,"LIBNAME mytera TERADATA SERVER=PRDEDW2 user = &userid password = ""&password"" database=sb_mc_enctr;
"
37,0
38,1
39,"(74, ['2018-09-01'])"
40,"(75, ['2020-08-31'])"
41,"{'create_dt': '2023-06-12T15:21:30.504493', 'modified_dt': '2023-06-12T15:21:30.504493'}"
42,24
43,2
44,"(4, 'CONNECT TO ORACLE (USER=your_username PASSWORD=your_password PATH=your_path);')"
45,"(12, 'CREATE TABLE mylib.mytable AS SELECT * FROM connection to ORACLE (SELECT * FROM my_oracle_table);')"
46,"LIBNAME mylib 'c:\myfolder';
"
47,1
48,0
49,"(2, 'test_data/sas_script_1.sas')"
